,uid,logf0_rmse_gt,logf0_corr_gt
0,9d58583c-20de-439d-b1cd-9c2265bdedd8,0.5594864214617894,-0.7765405732517539
1,4a506707-52ea-493e-98c4-f667e3222d44,0.2339964019084275,0.13569990237175236
2,0b67f942-6ebf-403d-aff0-f4e5d62d3140,0.3016381505660285,0.41683117025470134
3,c237c6d5-f413-4e25-82e2-af7b408d390a,0.1709892380561302,0.3573272295407334
4,b8ed5cf9-b8ff-4da3-a764-a59020b85277,0.4433012981524756,-0.05657435121358572
5,22a8a78a-caea-4aa2-be9c-4e02e0d88009,0.14068089793206295,0.46871760975870086
6,57397c2f-a7c2-4914-bc64-8da1ed2e7e6a,0.29202710141044974,0.09209728091654647
7,caefe8cf-5a8b-4225-ab40-97d1e061b982,0.07834380293626746,0.2580802445520702
8,7ed46c20-18e8-45fa-9045-6aad37e3df28,0.527213167134343,-0.6998427280857035
9,caef5df1-11aa-4241-96c4-38cb2b0837f2,0.4450611734292411,0.41936264943359086
10,4bda3aea-be17-4f69-9c5e-93756a0a655a,0.38235858737124495,0.04063017176064417
11,dcf5bfb3-74de-495f-a112-fbf496005651,0.2552469685812065,-0.05633816683037426
12,7e0b3ee2-a079-4cb7-b6aa-2a2a7ed22734,0.11739306190058502,0.818715831437935
13,8bdcc17f-123e-47dc-9f3e-7d1db12a3c0c,0.2908162131134537,-0.45334581940023433
14,6f5f1b03-cfc3-4efa-a276-f7758ac0bef0,0.21081836366740048,0.5022039961163729
15,37547932-54fa-4d03-8ceb-35cfba38ded1,0.15367758429319586,0.3262634648136355
16,81635abf-9aee-4603-be0f-8c2b37b2c8ee,0.3548820949946335,0.30509159312918144
17,05b04457-5e77-4848-a956-64f8242a7500,0.12284245841222094,0.7344442364273649
18,8b9ffb98-2bc3-46ac-a167-802d4fbaf0db,0.08263981306863775,0.5700704817190623
19,95b3d10e-2269-4613-ad48-33ce1e7649af,0.47869511930971315,-0.38761093571526684
20,a4033601-48cc-4b05-a81b-2475bfe5a64f,0.25271677337593296,0.2366112972793625
21,c77bdc32-6065-4da9-aada-80fe7697ff5d,0.12848991991219205,0.35068236736891445
22,ee438517-6423-4925-b395-2b2b94c88754,0.10875779462670421,0.1746490237577742
