uid,whisper_transcripts,gt_transcripts
5c7783ef-05ba-4b35-8a91-360283d536dd," It depends on me. If I call you liar or I challenge you, to fear, go cut."," it depends on me if i call you liar or i challenge you cards you're out 
"
d0d1d7a2-0a96-45e5-a0e4-75a59055da80, I'm gonna paste my stuff.," i gotta pace myself 
"
bd4f326f-29b9-4c9d-9587-d1d7715f9ac5," Oh, I'm not moving. You see me moving?"," oh i'm not moving you see me moving 
"
a4033601-48cc-4b05-a81b-2475bfe5a64f, Anything towards the back with seams is less likely to be seen.," anything towards the back will seem is less likely to the seen 
"
a94a6ca4-fb80-42ce-a452-14e850cc95b6," Yes, I wish you none."," you got solution yet 
"
7bde3f96-3f44-4655-81ec-3afcca8e44ff, one more," one more 
"
972490cb-024d-41fb-bfc2-c2535ed62655, I believe that.," i believe that 
"
1ac6fd71-d1be-4796-83c9-947bdc300e61, Okay," okay 
"
673c5399-2751-4ee7-9d38-8713077041cf," One, three."," one three 
"
8cdd2c76-1872-4d65-b75a-7b3a4cebb60e, How many? You have to say how many years? How many sixes? You can play. You can play and you know. You can play and you know. Because it is easier for you to get rid of many of them at the same time now. And also easier to bluff.," how many you have to say how many is how many sixes you can play huh because like it is easier for you to get rid of many of them at the same time now and also easier to bluff 
"
91d5c772-38ab-47ee-82f2-3e6ecf0623d6," I mean, nobody's gonna be asked besides me. So I was like, are you really playing, or are you just trying to get the cars off your head?"," i mean i mean nobody's calling nobody else besides me so i was like are you really playing or are you just trying to get the cards off your hand 
"
5e3c5e05-f46e-4449-9ec2-90f2b50924e0, Thank you very much.," how many more cards are let me play okay challenge 
"
9340252e-e871-404b-aed9-12ebba0981a9," Yes, of course. Nah, the clap at the end is the most deadly."," yes the nah the clap at the end is the most deadly 
"
89a362e1-d158-4d8b-af31-580100f17336, create.," three eight 
"
5dd30609-6533-488a-8b92-eaf3fac48b7c, Let's get it all cracking in.," let's get it all cracked in here 
"
7adf6391-15ac-48ff-be6d-67360317ec3c, one more.," one more 
"
29bb7e01-3312-4c8b-aaf2-e883d03f6608," They're bringing back for you, drop them."," you gonna gonna bring in back forty 
"
28f314aa-e11d-48b3-b897-2f0bd92943b7," Oh, that was so good. Oh, you're the bitch! More knives. It looks like college humor. More knives."," seven psychology 
"
0529ac58-87dd-44a0-8e07-88c0779b94fe, Come at him.," how many 
"
11fd0271-8827-40ed-ad58-1cb85e026afd, seldom enough," you don't know that 
"
7285f0f1-2717-4f1d-8e83-7b23057cefd3, you," one s 
"
5482de99-409c-4f87-9e12-2d5d9476ca85, Are you sure? I'm kidding.," are you sure i'm kidding 
"
3ac3c9de-70bd-418f-9eaa-d90f717a235b, Right?," right 
"
aa990975-6e23-42b8-87e9-91d5030ad553, I understand. Sorry. We just have a little more order in our house.," i understand we just have a little more order in our house 
"
56c0970c-2593-4242-a788-b1d2fb3da1bb, ..one Lamb," one nine 
"
ccfa7350-c1b2-4f7c-a2ac-c3b4a7252ff0," I'm so sorry. You guys are so my prize. Mmhmm. Mmhmm. Mmhmm. One check. Mmhmm. Oh, I'm set. He's all my cards. I don't know if that will be a surprise."," fuck you guys all seen my cards mhm one check i'm upset he saw my cards how about that would've been a surprise 
"
112c42ae-37e7-4872-9409-8e37e74643a0," Dang, that's cool though."," dang that's cool though 
"
