,uid,logf0_rmse,logf0_corr
0,9d58583c-20de-439d-b1cd-9c2265bdedd8,0.18193290723389743,-0.20016617078586552
1,4a506707-52ea-493e-98c4-f667e3222d44,0.36884265503642427,-0.5945069525180438
2,0b67f942-6ebf-403d-aff0-f4e5d62d3140,0.12801702588016772,0.7427725671040419
3,c237c6d5-f413-4e25-82e2-af7b408d390a,0.30165814270796176,-0.16771013143709465
4,b8ed5cf9-b8ff-4da3-a764-a59020b85277,0.49712695630258,0.14965509961024834
5,22a8a78a-caea-4aa2-be9c-4e02e0d88009,0.3118391013764921,0.16705422008108775
6,57397c2f-a7c2-4914-bc64-8da1ed2e7e6a,0.28953690134491455,-0.09163115085942382
7,caefe8cf-5a8b-4225-ab40-97d1e061b982,0.11807394608614266,0.04595595874924809
8,7ed46c20-18e8-45fa-9045-6aad37e3df28,0.1696303016993093,-0.5725047540852571
9,caef5df1-11aa-4241-96c4-38cb2b0837f2,0.4018946673799286,0.14386247439315
10,4bda3aea-be17-4f69-9c5e-93756a0a655a,0.0976129768621281,0.3823344373329321
11,dcf5bfb3-74de-495f-a112-fbf496005651,0.2109826481179996,0.7636534636342437
12,7e0b3ee2-a079-4cb7-b6aa-2a2a7ed22734,0.12455943208285192,0.8936927788831067
13,8bdcc17f-123e-47dc-9f3e-7d1db12a3c0c,0.20252683367075164,-0.4056712801699933
14,6f5f1b03-cfc3-4efa-a276-f7758ac0bef0,0.36600753861882535,-0.17403947115117763
15,37547932-54fa-4d03-8ceb-35cfba38ded1,0.1958344984860303,0.11338073476475559
16,81635abf-9aee-4603-be0f-8c2b37b2c8ee,0.42917286440501284,0.559958442805542
17,05b04457-5e77-4848-a956-64f8242a7500,0.21684021284021823,0.4144196313806534
18,8b9ffb98-2bc3-46ac-a167-802d4fbaf0db,0.11269700890762986,0.3900457515404479
19,95b3d10e-2269-4613-ad48-33ce1e7649af,0.26893291627611593,-0.0037900922613656445
20,a4033601-48cc-4b05-a81b-2475bfe5a64f,0.2885831890075246,0.41475803810186945
21,c77bdc32-6065-4da9-aada-80fe7697ff5d,0.06187329158140188,0.2673553025411009
